id,source_url,asset_url,file_name,extension,asset_type,alt_text,category,visual_role,estimated_quality,stitch_candidate,download_priority,size_kb,reason,notes
MEDIA-001,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Logo_25580508150123_636182.png,Logo_25580508150123_636182.png,png,image,"",landing,partner-logo,high,yes,medium,,Logo/branding asset,""
MEDIA-002,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://erp.mju.ac.th/images/ribbon-black_68.png,ribbon-black_68.png,png,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-003,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690625104612_274823.jpg,banner_25690625104612_274823.jpg,jpg,image,"",landing,hero,high,yes,high,,Hero image candidate for landing page,""
MEDIA-004,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690507093827_210639.jpg,banner_25690507093827_210639.jpg,jpg,image,"",landing,hero,high,yes,high,,Hero image candidate for landing page,""
MEDIA-005,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690306101947_370223.jpg,banner_25690306101947_370223.jpg,jpg,image,"",landing,hero,high,yes,high,,Hero image candidate for landing page,""
MEDIA-006,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690311101352_474397.jpg,banner_25690311101352_474397.jpg,jpg,image,"",landing,hero,high,yes,high,,Hero image candidate for landing page,""
MEDIA-007,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690311104023_228890.jpg,banner_25690311104023_228890.jpg,jpg,image,"",landing,hero,high,yes,high,,Hero image candidate for landing page,""
MEDIA-008,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25690216102413_343759.jpg,banner_25690216102413_343759.jpg,jpg,image,"",landing,hero,high,yes,high,,Hero image candidate for landing page,""
MEDIA-009,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/banner_25621111155137_788895.jpg,banner_25621111155137_788895.jpg,jpg,image,"",landing,hero,high,yes,high,,Hero image candidate for landing page,""
MEDIA-010,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNzU=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-011,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNzk=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-012,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNzg=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-013,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODY=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-014,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODE=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-015,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODQ=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-016,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODU2MzU=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-017,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODAxNjg=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-018,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=ODA3NTU=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-019,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzYzOTQ=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-020,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5ODk=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-021,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5OTI=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-022,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=Nzc0MzI=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-023,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5OTM=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-024,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/wtms_documentDownload.aspx?id=NzE5OTE=,wtms_documentDownload.aspx,aspx,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-025,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/placeholder.png,placeholder.png,png,image,"",landing,exclude,low,no,skip,,Decorative or low-value asset,""
MEDIA-026,https://rae.mju.ac.th/wtms_index.aspx?lang=th-TH,https://rae.mju.ac.th/goverment/20130325103535_2013_rae/Doc_25671008160853_758028.png,Doc_25671008160853_758028.png,png,image,"",landing,archive,low,no,skip,,Old content (pre-2568),""
